,metric,value,step
200,Loss/train,0.17631258070468903,3335744.0
201,Loss/train,0.19720982015132904,3338944.0
202,Loss/train,0.19711676239967346,3342144.0
203,Loss/train,0.13918031752109528,3345344.0
204,Loss/train,0.16372233629226685,3348544.0
205,Loss/train,0.17105253040790558,3351744.0
206,Loss/train,0.1926005780696869,3354944.0
207,Loss/train,0.1953670084476471,3358144.0
208,Loss/train,0.17227892577648163,3361344.0
209,Loss/train,0.16269494593143463,3364544.0
210,Loss/train,0.171807199716568,3367744.0
211,Loss/train,0.15890856087207794,3370944.0
212,Loss/train,0.14237412810325623,3374144.0
213,Loss/train,0.20681044459342957,3377344.0
214,Loss/train,0.1737244874238968,3380544.0
215,Loss/train,0.1606944054365158,3383744.0
216,Loss/train,0.20913013815879822,3386944.0
217,Loss/train,0.19495828449726105,3390144.0
218,Loss/train,0.17742125689983368,3393344.0
219,Loss/train,0.17614701390266418,3396544.0
220,Loss/train,0.16984227299690247,3399744.0
221,Loss/train,0.13912519812583923,3402944.0
222,Loss/train,0.16686077415943146,3406144.0
223,Loss/train,0.17981615662574768,3409344.0
224,Loss/train,0.1969447135925293,3412544.0
225,Loss/train,0.2200412005186081,3415744.0
226,Loss/train,0.16512519121170044,3418944.0
227,Loss/train,0.15473438799381256,3422144.0
228,Loss/train,0.1561136096715927,3425344.0
229,Loss/train,0.1410370171070099,3428544.0
230,Loss/train,0.1365220546722412,3431744.0
231,Loss/train,0.1866866648197174,3434944.0
232,Loss/train,0.22090616822242737,3438144.0
233,Loss/train,0.1557421237230301,3441344.0
234,Loss/train,0.15646342933177948,3444544.0
235,Loss/train,0.19369272887706757,3447744.0
236,Loss/train,0.16055212914943695,3450944.0
237,Loss/train,0.1380099654197693,3454144.0
238,Loss/train,0.18588052690029144,3457344.0
239,Loss/train,0.20255319774150848,3460544.0
240,Loss/train,0.1988169252872467,3463744.0
241,Loss/train,0.12782539427280426,3466944.0
242,Loss/train,0.19590751826763153,3470144.0
243,Loss/train,0.17889884114265442,3473344.0
244,Loss/train,0.17963606119155884,3476544.0
245,Loss/train,0.16858384013175964,3479744.0
